Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Country,Transaction_Type,Channel,Merchant_Category,Customer_Name,Customer_Age,Account_Type,Customer_Risk_Level,Previous_Transaction_Count,Large_Transaction_Flag,International_Transaction_Flag,High_Frequency_Flag,High_Risk_Customer_Flag,High_Value_Flag,Risk_Score,Risk_Category,Is_Suspicious
TXN0009918,CUST00126,2025-01-01 00:00:00,11813.0,Canada,Cash Deposit,Card,Financial Services,Ankit Gupta,66,Savings,Low,0,0,0,0,0,0,12,Low,No
TXN0001218,CUST01019,2025-01-01 02:00:00,51077.0,Singapore,Bank Transfer,Card,Jewelry,Simran Rathi,64,Business,Low,0,0,0,0,0,0,6,Low,No
TXN0007884,CUST01005,2025-01-01 04:00:00,4227.0,India,International Transfer,Mobile Banking,Retail,Aarav Malhotra,63,Current,Medium,0,0,1,0,0,0,30,Medium,No
TXN0006764,CUST00248,2025-01-01 05:00:00,1938.0,India,Bank Transfer,Card,Healthcare,Ankit Gupta,22,Savings,Low,0,0,0,0,0,0,4,Low,No
TXN0008009,CUST00216,2025-01-01 05:00:00,7944.0,Australia,Bank Transfer,Card,Electronics,Arjun Sharma,66,Savings,Low,0,0,0,0,0,0,6,Low,No
TXN0002949,CUST00301,2025-01-01 07:00:00,8841.0,India,Cash Deposit,Card,Real Estate,Simran Shah,41,Savings,Medium,0,0,0,0,0,0,8,Low,No
TXN0007244,CUST00349,2025-01-01 08:00:00,15327.0,India,Card Payment,Online Banking,Retail,Neha Shah,38,Current,Low,0,0,0,0,0,0,6,Low,No
TXN0001515,CUST01361,2025-01-01 10:00:00,4487.0,Hong Kong,Online Payment,Mobile Banking,Retail,Rohan Shah,47,Current,Low,0,0,0,0,0,0,14,Low,No
TXN0003729,CUST00382,2025-01-01 11:00:00,4447.0,India,Online Payment,Branch,Travel,Rohit Chopra,47,Savings,Low,0,0,0,0,0,0,4,Low,No
TXN0003034,CUST00771,2025-01-01 11:00:00,9063.0,India,Bank Transfer,Card,Healthcare,Rahul Jain,48,Savings,Low,0,0,0,0,0,0,14,Low,No
TXN0007011,CUST01156,2025-01-01 11:00:00,4304.0,United States,Bank Transfer,Branch,Electronics,Riya Bansal,47,Current,Medium,0,0,0,0,0,0,5,Low,No
TXN0009160,CUST00119,2025-01-01 12:00:00,5665.0,United States,Bank Transfer,Card,Food,Aditya Joshi,28,Savings,Low,0,0,0,0,0,0,14,Low,No
TXN0001403,CUST01130,2025-01-01 12:00:00,580.0,Hong Kong,Cash Deposit,Mobile Banking,Electronics,Rohit Yadav,26,Savings,Low,0,0,0,0,0,0,11,Low,No
TXN0006788,CUST00560,2025-01-01 14:00:00,14105.0,India,International Transfer,ATM,Retail,Aman Kapoor,29,Current,Low,0,0,1,0,0,0,28,Low,No
TXN0005307,CUST00690,2025-01-01 15:00:00,1774.0,France,Card Payment,Card,Retail,Varun Rathi,57,Savings,Low,0,0,0,0,0,0,7,Low,No
TXN0005225,CUST01277,2025-01-01 15:00:00,1092.0,Hong Kong,Bank Transfer,Card,Travel,Ananya Kapoor,39,Current,Medium,0,0,0,0,0,0,10,Low,No
TXN0008538,CUST01054,2025-01-01 16:00:00,4565.0,Singapore,Online Payment,Mobile Banking,Jewelry,Aditya Agarwal,46,Savings,Medium,0,0,0,0,0,0,5,Low,No
